title,year,month,url,keyword
New & Noteworthy,2019,01,https://www.nytimes.com/2019/01/01/books/review/new-noteworthy-alisha-haridasani-gupta.html,Books and Literature
Three New Year�s Resolutions for Better Travel in 2019,2019,01,https://www.nytimes.com/2019/01/01/travel/three-new-years-resolutions-for-better-travel-in-2019.html,
"In the Race for Content, Hollywood Is Buying Up Hit Podcasts",2019,01,https://www.nytimes.com/2019/01/01/business/media/podcasts-hollywood-tv-shows.html,"Television, Podcasts, AMAZON.COM INC, ABC INC, Blumhouse Television LLC, Bravo, FX (TV Network), Gimlet Media, Home Box Office, Pod Save America (Radio Program), 2 Dope Queens (Radio Program), Alex, Inc (TV Program), Dirty John (TV Program), Homecoming (Radio Program), Limetown (Radio Program), Serial (Radio Program), Welcome to Night Vale (Book), Wondery Inc"
Bringing Yoga to a Newsroom or Workplace Near You ,2019,01,https://www.nytimes.com/2019/01/01/reader-center/yoga-poses-destress-relax.html,"Yoga, Back (Human Body Part)"
"In High-Tech Cities, No More Potholes, but What About Privacy?",2019,01,https://www.nytimes.com/2019/01/01/us/kansas-city-smart-technology.html,"Urban Areas, Computers and the Internet, Privacy, Data-Mining and Database Marketing, Kansas City (Mo)"
Bright Spot for N.Y.�s Struggling Schools: Pre-K,2019,01,https://www.nytimes.com/2019/01/01/nyregion/deblasio-pre-k-program-nyc.html,"Education (Pre-School), de Blasio, Bill, Children and Childhood, Education Department (NYC), New York City"
Police Searching for Gunman Who Fired Into Car and Killed a 7-Year-Old,2019,01,https://www.nytimes.com/2019/01/01/us/jazmine-barnes-houston-shooting.html,"Barnes, Jazmine (d 2018), Murders, Attempted Murders and Homicides, Houston (Tex)"
"Brazil Wanted Change. Even Before Taking Office, Jair Bolsonaro Delivered.",2019,01,https://www.nytimes.com/2019/01/01/world/americas/brazil-jair-bolsonaro-president.html,"Bolsonaro, Jair (1955- ), Brazil, Inaugurations"
Who�s Really Getting Ripped Off by $35 Sage?,2019,01,https://www.nytimes.com/2019/01/01/business/whos-really-getting-ripped-off-by-35-sage.html,Fads
"Los Cabos, a Spring Break Hub, Gets a High-End Infusion",2019,01,https://www.nytimes.com/2019/01/01/travel/los-cabos-high-end-mexico-baja.html,"Travel and Vacations, Los Cabos (Mexico)"
10 Things Our Critics Are Looking Forward to in 2019,2019,01,https://www.nytimes.com/2019/01/01/arts/critics-look-forward-to-2019.html,"Culture (Arts), Two Thousand Nineteen, Elevator Repair Service, The Great Gatsby (Book), Gatz (Play), Fitzgerald, F Scott, James, Marlon (1970- ), Black Leopard, Red Wolf (Book), Fleabag (Play), Waller-Bridge, Phoebe, Documentary Now! (TV Program), Armisen, Fred, Hader, Bill, Metropolitan Opera, Iolanta (Opera), Bluebeard's Castle (Opera), Kahlo, Frida, Brooklyn Museum, Teicher, Caleb, Leigh, Mike, Peterloo (Movie), Dancing, Television, Opera, Movies, Books and Literature, Moolchan, Eva (Sneaks), Cohen, Catherine (Comedian), Comedy and Humor"
